"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"PMAIP1",378.286788117627,-1.20726989811792,0.116330005357526,-10.3779750925613,3.48080411602603e-08,8.88948517841946e-06,"PMAIP1"
"BST2",170.400665048666,-2.03453281012719,0.171727794906607,-11.8474287242415,1.2270641074399e-17,6.6156934118528e-15,"BST2"
"IGFL1",1155.69208279498,2.29208568531411,0.0680531976711277,33.6807933168811,5.76904595638507e-140,2.79933339956992e-136,"IGFL1"
"ZNFX1",3775.20375631288,-0.81649370978442,0.0423744035009053,-19.2685593737497,1.19534717470857e-08,3.28314506079862e-06,"ZNFX1"
"FAM65C",800.310322033948,1.19612366746582,0.0742967393339089,16.0992753947132,5.53337503882587e-17,2.68497801467294e-14,"FAM65C"
"MX2",123.911181309044,-3.13164075574655,0.451522863026669,-6.93573019703673,7.96711750217429e-09,2.31121586555884e-06,"MX2"
"MX1",651.947819252943,-2.97911910419974,0.228001264026405,-13.0662394216145,3.40602312087717e-26,3.09884241066306e-23,"MX1"
"LIF",1481.89078530442,0.816926786612199,0.0558541365994553,14.6260749220885,1.10825465034053e-05,0.00201660786812588,"LIF"
"APOL6",4310.28050985874,-1.04316979791045,0.0807323507447474,-12.92133560199,4.81548939102233e-09,1.49146976734281e-06,"APOL6"
"APOL3",356.001721313603,-1.0492903683796,0.123208277100566,-8.5163951081236,6.9787786579371e-05,0.0110424001003903,"APOL3"
"APOL1",1055.04584195603,-1.33054698894546,0.132877740645663,-10.0133173734007,8.09727341784028e-09,2.31121586555884e-06,"APOL1"
"SLC12A7_1",184.697880655267,1.34172737377195,0.145071142253149,9.24875445890287,7.5754544523998e-08,1.80780148300957e-05,"SLC12A7_1"
"HLA-B_3",855.610878506411,-1.34012282632108,0.0885546719758373,-15.1332820326718,4.59523329477263e-18,2.6757124428802e-15,"HLA-B_3"
